date,Austria,Sweden,Portugal,Latvia,Denmark
2004,61.9,51.2,27.5,46,23.8
2005,62.4,50.9,27.7,43,24.7
2006,62.4,51.8,29.3,40.4,24
2007,64.6,53.2,32.3,38.6,25
2008,65.2,53.6,34.1,38.7,25.9
2009,67.8,58.3,37.6,41.9,28.3
2010,65.7,56,40.7,42.1,32.7
2011,66,59.9,45.9,44.7,35.9
2012,66.5,60,47.6,44.9,38.7
2013,68.1,61.8,49.2,48.8,43.1
